sample_id,participant,phase,sample_date,pm_conc_ug_m3,bc_conc_ug_m3,country
41,m,baseline,9/5/18 10:33,49.56106759,3.3,kenya
42,m,followup1,9/4/18 10:05,84.20931291,4.97,kenya
43,m,baseline,9/4/18 11:40,84.98417024,5.44,kenya
44,m,baseline,9/5/18 10:00,32.81654438,2.13,kenya
45,m,baseline,9/4/18 10:30,94.16231041,5.11,kenya
46,m,baseline,9/5/18 11:30,42.52864108,3.18,kenya
47,m,baseline,9/4/18 10:12,63.39999837,5.45,kenya
48,m,followup1,9/6/18 09:26,97.80735097,5.55,kenya
49,m,baseline,9/6/18 12:08,206.2235456,4.75,kenya
50,m,baseline,9/5/18 09:38,27.34455853,1.98,kenya
51,m,followup1,9/5/18 09:50,47.19915309,3.83,kenya
52,m,followup1,9/5/18 12:31,79.29616106,6.71,kenya
53,m,followup1,9/7/18 11:00,35.76368075,2.29,kenya
54,m,baseline,9/7/18 09:18,12.82732017,1.59,kenya
55,m,baseline,9/6/18 10:17,94.98436233,6.57,kenya
56,m,baseline,9/7/18 10:57,13.09089524,1.77,kenya
57,m,baseline,9/7/18 09:43,32.98340817,3.33,kenya
58,m,followup1,9/12/18 11:02,48.18076459,5.05,kenya
59,o,baseline,9/14/18 09:57,101.7940321,8.55,kenya
60,m,followup1,9/17/18 11:35,231.2856182,11.39,kenya
61,m,baseline,9/10/18 11:02,176.9533408,8.31,kenya
62,m,baseline,9/12/18 09:54,36.82945881,2.66,kenya
63,m,baseline,9/17/18 13:24,62.15727981,2.76,kenya
64,m,baseline,9/12/18 10:04,82.73899158,5.31,kenya
65,m,followup1,9/13/18 09:48,19.14931604,1.52,kenya
66,m,followup1,9/12/18 10:55,100.7421337,5.06,kenya
67,m,followup1,9/13/18 11:03,90.55089637,5.5,kenya
68,m,followup1,9/10/18 13:37,34.10358435,1.77,kenya
69,m,followup1,9/12/18 11:36,66.13781327,1.41,kenya
70,m,followup1,9/11/18 12:16,55.17796263,3.55,kenya
71,m,baseline,9/17/18 10:00,400.0531144,11.96,kenya
72,m,baseline,9/14/18 09:57,85.26983132,5.59,kenya
73,m,baseline,9/10/18 11:31,199.5344197,11.31,kenya
74,m,baseline,9/10/18 10:08,58.97756493,5.15,kenya
75,m,baseline,9/11/18 10:05,146.0771162,6.47,kenya
76,m,baseline,9/11/18 11:26,221.1387593,8.06,kenya
77,m,followup1,9/10/18 12:19,521.5486518,3.78,kenya
78,m,followup1,9/14/18 12:30,18.65792025,1.61,kenya
79,m,followup1,9/13/18 09:54,79.92586586,3.06,kenya
80,m,followup1,9/17/18 09:57,25.94995645,1.29,kenya
81,m,followup1,9/17/18 11:33,23.51971334,1.15,kenya
82,m,followup1,9/17/18 11:33,23.51971334,1.15,kenya
83,m,followup1,9/17/18 12:41,197.2628631,8.33,kenya
84,m,baseline,9/17/18 13:11,114.5233918,5.41,kenya
85,m,followup1,9/17/18 10:31,217.3351304,8.18,kenya
86,m,followup1,9/17/18 10:31,203.9448324,8.8,kenya
87,m,followup1,9/17/18 12:43,19.3373617,2.05,kenya
88,m,baseline,9/17/18 12:12,96.21439737,6.99,kenya
89,m,followup2,9/17/18 11:07,22.30598489,2.59,kenya
90,m,followup1,9/17/18 10:15,24.46450404,2.34,kenya
91,m,baseline,9/21/18 12:00,231.2837036,7.62,kenya
92,m,baseline,9/19/18 14:03,139.9503216,5.74,kenya
93,m,followup1,9/19/18 11:11,20.23138356,1.72,kenya
94,m,followup2,9/19/18 10:39,24.82169747,1.8,kenya
95,m,followup1,9/19/18 12:21,45.63180748,3.7,kenya
96,m,baseline,9/19/18 12:17,54.27902605,2.59,kenya
97,m,baseline,9/19/18 11:14,168.6911479,12.06,kenya
98,m,baseline,9/21/18 12:29,51.83106998,2.26,kenya
99,m,baseline,9/19/18 10:10,113.9541566,8.93,kenya
100,m,followup1,9/19/18 10:00,68.09195388,7.02,kenya
101,m,baseline,9/21/18 11:05,123.4016719,7.45,kenya
102,m,followup1,9/27/18 09:37,193.3402249,2.27,kenya
103,m,baseline,9/26/18 13:01,74.37156032,2.84,kenya
104,m,followup1,9/26/18 12:20,104.0716954,7.26,kenya
105,m,followup1,9/26/18 12:59,36.51734476,4.26,kenya
106,m,followup1,9/24/18 12:41,42.55148138,3.93,kenya
107,m,baseline,9/24/18 09:42,175.8168453,3.49,kenya
108,m,followup2,9/24/18 10:56,67.71868234,4.05,kenya
109,m,baseline,9/24/18 10:25,50.48196581,3.53,kenya
110,m,followup1,9/26/18 12:17,34.75037646,2.56,kenya
111,m,followup1,9/26/18 09:37,13.97000059,1.69,kenya
112,m,followup1,9/26/18 11:01,7.189733061,0.75,kenya
113,m,baseline,9/26/18 10:39,38.87330248,3.14,kenya
114,m,baseline,9/26/18 11:28,91.47771653,5.32,kenya
115,m,followup1,9/24/18 10:29,56.27520182,5.35,kenya
116,m,followup1,9/24/18 12:10,40.74583505,1.47,kenya
117,m,baseline,9/27/18 09:52,63.39999837,6.55,kenya
118,m,baseline,9/27/18 11:13,117.2962234,7.26,kenya
119,m,baseline,9/26/18 13:09,58.68441058,3.77,kenya
120,m,baseline,10/4/18 13:38,18.22970569,2.06,kenya
121,m,baseline,10/4/18 10:22,46.2547673,3.83,kenya
122,m,baseline,10/4/18 10:00,48.57520444,4.14,kenya
123,m,baseline,10/4/18 12:02,32.4336847,2.67,kenya
124,o,baseline,10/4/18 10:01,18.81577067,2.73,kenya
125,m,baseline,10/5/18 09:51,107.190216,6.33,kenya
126,m,followup2,10/8/18 12:44,26.68643268,1.6,kenya
127,m,followup1,10/8/18 11:05,19.89078787,1.37,kenya
128,m,followup1,10/10/18 12:09,35.39936482,3.07,kenya
129,m,baseline,10/8/18 12:22,165.0502533,5.18,kenya
130,m,baseline,10/8/18 14:09,55.54117937,4.92,kenya
131,m,followup1,10/8/18 13:10,26.03448399,1.62,kenya
132,m,followup2,10/8/18 11:57,335.9203058,6.94,kenya
133,m,followup1,10/8/18 10:56,24.77955537,1.79,kenya
134,m,followup1,10/10/18 14:04,28.91046295,1.68,kenya
135,m,baseline,10/8/18 10:47,72.25325799,4.09,kenya
136,m,baseline,10/10/18 12:29,176.4341584,6.2,kenya
137,m,baseline,10/22/18 10:37,1555.165362,1.25,kenya
138,m,baseline,10/11/18 15:43,125.194959,11.78,kenya
139,m,baseline,10/8/18 09:51,106.5823031,6.38,kenya
140,m,followup1,10/17/18 10:40,36.64155341,2.08,kenya
141,m,baseline,10/10/18 11:18,95.62184127,6.81,kenya
142,m,baseline,10/11/18 09:39,48.7099294,2.43,kenya
143,m,baseline,10/10/18 09:49,59.3725025,6.13,kenya
144,m,baseline,10/10/18 11:07,94.77375399,5.72,kenya
145,m,baseline,10/12/18 12:03,140.7218202,7.15,kenya
146,m,followup2,10/15/18 09:59,18.14049016,0.97,kenya
147,m,followup1,10/17/18 11:56,39.64808053,2.33,kenya
148,m,followup2,10/17/18 13:03,16.33653257,1.75,kenya
149,m,followup1,10/15/18 11:54,25.48770522,1.24,kenya
150,m,followup2,10/22/18 11:02,48.56957775,1.49,kenya
151,m,followup1,10/17/18 10:36,29.20199703,1.39,kenya
152,m,baseline,10/12/18 11:03,82.39705011,7.8,kenya
153,m,followup1,10/12/18 13:42,37.66050651,2.43,kenya
154,m,followup1,10/15/18 10:36,47.69659514,2.78,kenya
155,m,followup1,10/17/18 11:19,46.33383528,2.66,kenya
156,m,followup1,10/8/18 10:15,84.98417024,3.69,kenya
157,m,followup1,10/18/18 11:32,33.15003018,1.08,kenya
158,m,followup2,10/17/18 10:53,30.52397933,1.34,kenya
159,m,followup1,10/15/18 11:37,46.72319524,2.99,kenya
160,m,baseline,10/25/18 10:22,1089.790718,11.68,kenya
161,o,baseline,10/15/18 11:22,2062.782347,2.44,kenya
162,m,baseline,10/17/18 09:07,67.83463898,3.17,kenya
163,m,baseline,10/19/18 10:24,106.4018042,5.08,kenya
164,m,baseline,10/17/18 09:42,68.92636654,4.17,kenya
165,m,baseline,10/17/18 10:12,32.59666804,1.85,kenya
166,m,followup2,10/10/18 10:51,61.80436082,2.55,kenya
167,m,baseline,10/15/18 09:51,54.37133732,1.79,kenya
168,m,baseline,10/17/18 11:49,242.0424231,7.05,kenya
169,m,baseline,10/17/18 12:16,57.53373586,1.56,kenya
170,m,baseline,10/15/18 11:21,81.96932654,3.32,kenya
171,m,baseline,10/15/18 10:14,38.16181109,3.33,kenya
172,m,baseline,10/15/18 09:51,156.5874849,10.25,kenya
173,m,baseline,10/17/18 10:27,56.54298543,1.86,kenya
174,m,baseline,10/19/18 09:43,40.00865711,2.23,kenya
175,m,baseline,10/22/18 10:26,65.74395547,4.41,kenya
176,m,baseline,10/22/18 10:12,114.5246656,5.8,kenya
177,m,baseline,10/25/18 09:32,45.3512254,3.51,kenya
178,m,baseline,10/24/18 11:31,1465.363771,5.99,kenya
179,m,baseline,10/23/18 11:04,1270.39242,6.1,kenya
180,m,baseline,10/25/18 11:30,1453.610519,1.02,kenya
181,m,baseline,10/23/18 11:55,76.16520868,4.12,kenya
182,m,followup1,10/22/18 10:59,16.38064884,1.31,kenya
183,m,followup2,10/23/18 12:14,40.32466893,2.97,kenya
184,m,baseline,10/25/18 10:33,13.80809661,0.96,kenya
185,m,followup2,10/24/18 11:57,365.7315425,9.99,kenya
186,m,baseline,11/1/18 09:51,22.08217902,1.3,kenya
187,m,followup2,10/24/18 10:33,103.7846814,6.1,kenya
188,o,baseline,10/24/18 10:45,105.9601643,5.76,kenya
189,m,followup2,10/22/18 09:53,34.06899653,0.98,kenya
190,m,baseline,10/25/18 09:32,39.36126784,3.26,kenya
191,m,followup2,10/24/18 10:48,232.8217594,6.96,kenya
192,m,baseline,10/22/18 11:48,103.5607246,3.25,kenya
193,m,baseline,10/29/18 12:08,117.3244221,6.04,kenya
194,m,followup2,10/31/18 11:03,82.71163984,3.43,kenya
195,m,baseline,10/31/18 10:56,90.3509788,6.79,kenya
196,m,followup2,10/29/18 10:29,4.648879794,0.94,kenya
197,m,followup1,10/31/18 11:17,23.08995114,0.95,kenya
198,m,followup1,10/29/18 11:40,91.59901539,5.21,kenya
199,m,baseline,10/29/18 10:07,16.49170408,1.29,kenya
200,m,baseline,10/31/18 09:34,86.3006038,3.23,kenya
201,m,followup2,10/29/18 11:37,53.73167453,3.53,kenya
202,m,followup1,10/29/18 11:30,1092.99326,2.94,kenya
203,m,followup2,10/31/18 11:33,64.65186319,4.69,kenya
204,m,followup2,10/29/18 10:23,42.85879764,2.56,kenya
205,o,followup2,10/31/18 10:32,295.5242099,7,kenya
206,m,followup1,10/29/18 10:31,189.7591747,8.95,kenya
207,m,followup2,10/31/18 12:40,43.79815276,1.59,kenya
208,m,followup1,10/29/18 10:49,33.87431655,1.77,kenya
209,m,followup2,10/31/18 10:31,53.55166892,2.82,kenya
210,m,baseline,10/31/18 09:44,66.80510821,2.71,kenya
211,m,baseline,11/1/18 08:15,123.6586708,5.78,kenya
212,m,baseline,10/31/18 10:27,164.4229222,7.09,kenya
213,m,baseline,10/29/18 10:51,258.2106533,10.41,kenya
214,m,baseline,10/29/18 11:13,36.39973967,2.13,kenya
215,m,baseline,10/31/18 11:13,81.62437304,15.22,kenya
216,m,followup2,10/31/18 09:39,60.78448688,3.18,kenya
217,m,followup1,11/1/18 08:51,16.18985925,1.37,kenya
218,m,followup2,11/1/18 11:43,23.84829757,1.24,kenya
219,m,baseline,11/2/18 09:43,59.9343143,4.17,kenya
220,m,baseline,11/2/18 10:36,39.12294039,2.67,kenya
221,m,followup1,11/2/18 11:30,109.7995088,6.74,kenya
222,m,followup1,11/5/18 12:28,49.15349302,3.06,kenya
223,m,followup2,11/7/18 12:37,14.98357857,1.06,kenya
224,m,followup2,11/5/18 13:27,15.0001625,0.85,kenya
225,m,baseline,11/7/18 10:26,49.55911074,4.4,kenya
226,m,baseline,11/7/18 11:36,173.7518823,5.37,kenya
227,m,followup1,11/5/18 09:47,18.16221766,1.41,kenya
228,m,baseline,11/7/18 11:34,102.172047,5.08,kenya
229,m,baseline,11/7/18 10:41,87.02293936,4.84,kenya
230,m,baseline,11/9/18 10:45,174.0381292,8.49,kenya
231,m,baseline,11/8/18 08:55,46.02698869,3.08,kenya
232,m,followup2,11/7/18 11:07,74.75711239,6.19,kenya
233,m,baseline,11/9/18 10:03,226.227283,9.39,kenya
234,m,followup2,11/5/18 10:18,113.9356605,4.82,kenya
235,m,baseline,11/8/18 08:45,66.13594185,3.03,kenya
236,m,baseline,11/7/18 11:18,181.6630135,8.15,kenya
237,m,baseline,11/7/18 10:12,19.51900297,1.23,kenya
238,m,baseline,11/9/18 11:43,117.5634627,6.55,kenya
239,m,baseline,11/5/18 13:02,23.08995114,1.36,kenya
240,m,followup1,11/5/18 11:27,107.4407775,5.1,kenya
241,m,followup1,11/5/18 11:52,62.76751085,2.02,kenya
242,m,baseline,11/7/18 11:04,24.40661892,2.56,kenya
243,m,baseline,11/5/18 11:17,90.44618531,5.87,kenya
244,m,baseline,11/5/18 13:33,91.6362667,4.61,kenya
245,m,followup2,11/7/18 10:11,24.73755613,1.66,kenya
246,m,followup2,11/7/18 11:24,47.03942668,3.22,kenya
247,m,baseline,11/14/18 09:46,37.34009256,3.14,kenya
248,m,baseline,11/7/18 12:15,161.3831042,9.44,kenya
249,m,followup1,11/7/18 10:13,36.44704945,2.81,kenya
250,m,followup2,11/7/18 11:54,86.14833696,6,kenya
251,m,baseline,11/12/18 10:23,84.35134116,6.23,kenya
252,m,baseline,11/14/18 11:00,32.81654438,2.18,kenya
253,m,baseline,11/12/18 11:05,39.13864926,2.27,kenya
254,m,baseline,11/12/18 11:57,24.08441933,0.88,kenya
255,m,followup2,11/8/18 09:14,23.84829757,1.84,kenya
256,m,followup2,11/14/18 11:40,482.1541235,9.27,kenya
257,m,followup2,11/12/18 10:36,165.8673431,11.39,kenya
258,m,followup2,11/14/18 09:04,17.20315666,1.83,kenya
259,m,baseline,11/12/18 10:58,63.92209717,3.62,kenya
260,m,followup2,11/12/18 09:24,18.53353411,1.06,kenya
261,m,followup1,11/14/18 11:00,111.3868494,8.2,kenya
262,m,baseline,11/14/18 09:32,129.7497822,7.38,kenya
263,m,followup1,11/12/18 11:04,43.65921661,4.02,kenya
264,m,baseline,11/12/18 11:18,225.061163,7.82,kenya
265,m,followup1,11/12/18 09:32,15.08363586,0.64,kenya
266,o,baseline,11/12/18 11:18,79.36464445,3.92,kenya
267,m,followup1,11/12/18 10:37,18.5644749,1.15,kenya
268,m,baseline,11/12/18 09:34,47.84905537,3.37,kenya
269,m,followup2,11/12/18 13:17,27.70794137,2.2,kenya
270,m,baseline,11/12/18 09:35,100.322826,7.09,kenya
271,m,baseline,11/14/18 10:42,48.81323784,3.56,kenya
272,m,baseline,11/15/18 10:30,99.12020132,7.03,kenya
273,m,followup2,11/19/18 09:41,32.4336847,2.74,kenya
274,m,baseline,11/15/18 10:30,93.37686192,6.99,kenya
275,m,followup1,11/21/18 12:30,13.49529183,1.41,kenya
276,m,baseline,11/14/18 11:06,55.88000235,4.39,kenya
277,m,baseline,11/14/18 10:08,60.69415067,4.47,kenya
278,m,followup1,11/14/18 13:02,21.61234543,2.11,kenya
279,m,followup1,11/14/18 11:06,32.07727058,1.33,kenya
280,m,followup2,11/19/18 13:22,69.97516079,8.39,kenya
281,m,followup2,11/19/18 10:24,25.17733234,0.94,kenya
282,m,baseline,11/21/18 12:30,96.9228187,7.08,kenya
283,m,baseline,11/21/18 10:50,227.3055447,9.04,kenya
284,m,followup2,11/21/18 09:35,21.93545358,1.12,kenya
285,m,baseline,11/26/18 11:26,85.26983132,4.05,kenya
286,m,followup2,11/19/18 10:24,37.19103835,2.01,kenya
287,m,followup1,11/19/18 11:11,43.94390368,2.59,kenya
288,m,baseline,11/21/18 11:53,73.64318191,10.06,kenya
289,m,followup2,11/19/18 12:29,24.90641316,0.69,kenya
290,m,baseline,11/21/18 10:44,56.16222459,2.86,kenya
291,m,baseline,11/21/18 11:17,114.4293159,6.28,kenya
292,m,baseline,11/21/18 12:05,33.3695668,1.76,kenya
293,m,followup1,11/19/18 11:59,23.4799841,0.81,kenya
294,o,followup1,11/19/18 11:11,31.96797835,1.17,kenya
295,m,followup1,11/21/18 13:20,51.60946999,2.19,kenya
296,m,followup1,11/21/18 11:32,24.61240829,1.08,kenya
297,m,followup2,11/21/18 11:35,33.04134155,1.25,kenya
298,o,followup2,11/21/18 11:35,26.64195529,1.08,kenya
299,m,followup1,11/22/18 09:47,75.47083381,4.03,kenya
300,m,followup1,11/22/18 09:35,52.91935502,2.57,kenya
301,m,baseline,11/26/18 12:38,20.78095602,0.51,kenya
302,o,baseline,11/22/18 10:22,55.23238643,3.65,kenya
303,m,followup2,11/26/18 12:18,77.47624916,2.55,kenya
304,m,followup1,11/28/18 09:34,35.10139037,1.35,kenya
305,m,followup2,11/26/18 11:14,23.28333431,1.42,kenya
306,m,followup2,11/30/18 13:19,93.28960124,6.77,kenya
307,m,followup1,11/28/18 11:26,49.56106759,5.39,kenya
308,m,baseline,11/27/18 10:21,97.441934,6.18,kenya
309,m,baseline,11/29/18 09:33,145.7650019,6.35,kenya
310,m,followup1,11/28/18 10:14,138.0885239,8.91,kenya
311,m,baseline,11/29/18 10:47,232.4401221,8.16,kenya
312,m,followup1,11/28/18 11:32,94.98436233,4.28,kenya
313,m,baseline,11/30/18 13:20,126.0437384,5.28,kenya
314,m,followup2,11/26/18 10:27,191.726215,4.73,kenya
315,m,followup1,11/26/18 12:43,10.20402571,0.37,kenya
316,m,followup2,11/28/18 10:15,14.06423331,1,kenya
317,m,followup2,11/26/18 11:36,19.69188,0.93,kenya
318,m,followup1,11/28/18 10:32,48.89500206,4.02,kenya
319,m,baseline,11/27/18 09:21,157.7962089,8.2,kenya
320,m,baseline,11/28/18 08:53,32.71951031,1.91,kenya
321,m,baseline,11/28/18 09:26,36.94392182,1.54,kenya
322,m,baseline,11/27/18 11:07,152.3304174,10.24,kenya
323,m,followup2,11/28/18 12:58,96.04682565,5.12,kenya
324,m,followup1,11/30/18 09:50,144.0728709,6.97,kenya
325,m,followup1,11/26/18 12:17,37.3494985,1.91,kenya
326,m,followup2,11/26/18 14:10,24.94898823,0.32,kenya
327,m,followup1,11/26/18 12:18,51.35523615,2.65,kenya
328,m,baseline,11/29/18 09:30,16.39204143,0.65,kenya
329,m,followup2,11/30/18 11:27,40.54210587,2.23,kenya
330,o,baseline,11/27/18 11:07,24.69569901,1.12,kenya
331,m,followup1,11/28/18 13:15,25.61166774,1.13,kenya
332,m,followup1,11/28/18 12:16,54.44225646,4.04,kenya
333,m,followup1,11/26/18 10:32,17.92678151,0.93,kenya
334,m,followup1,11/28/18 12:45,15.08363586,0.55,kenya
335,m,followup1,11/27/18 11:32,15.08363586,0.55,kenya
336,m,baseline,11/27/18 11:32,255.5002384,5.7,kenya
337,m,baseline,11/30/18 10:16,56.16222459,3.18,kenya
338,m,followup2,11/26/18 11:34,72.19829202,4.61,kenya
339,m,followup1,11/26/18 10:56,37.2533349,1.74,kenya
340,m,followup1,11/26/18 11:58,271.2224504,4.92,kenya
341,m,followup2,11/28/18 09:54,35.32005477,0.96,kenya
342,m,followup2,11/28/18 10:15,29.81880489,1.07,kenya
343,m,followup2,11/30/18 11:46,30.37007691,1.05,kenya
344,m,baseline,12/3/18 10:16,68.68583622,3.78,kenya
345,m,followup2,12/3/18 10:51,43.3193131,3.22,kenya
346,m,followup1,12/5/18 10:23,26.73105882,0.63,kenya
347,m,followup1,12/3/18 11:20,22.49598476,1.08,kenya
348,m,followup1,12/7/18 10:14,28.95864705,0.9,kenya
349,m,baseline,12/4/18 10:27,164.017057,6.36,kenya
350,m,baseline,12/3/18 11:19,113.0859709,5.71,kenya
351,m,followup1,12/5/18 11:00,43.65336547,3.98,kenya
352,m,followup1,12/3/18 11:03,35.49461846,1.66,kenya
353,m,followup2,12/7/18 12:53,17.60998807,0.6,kenya
354,m,followup1,12/3/18 12:01,136.4573851,6.24,kenya
355,m,followup2,12/5/18 10:32,95.51528889,4.86,kenya
356,m,followup2,12/3/18 09:56,23.01349435,0.88,kenya
357,m,followup2,12/3/18 11:32,48.96101151,1.84,kenya
358,m,followup2,12/3/18 09:40,32.70623667,2.3,kenya
359,m,baseline,12/3/18 11:01,105.0592777,5.09,kenya
360,m,baseline,12/5/18 10:27,12.82732017,0.51,kenya
361,m,baseline,12/7/18 10:00,54.08171171,3.46,kenya
362,m,followup1,12/5/18 11:47,23.12837036,0.92,kenya
363,m,baseline,12/5/18 10:01,63.82722207,3.77,kenya
364,m,baseline,12/6/18 10:42,162.4692926,6.78,kenya
365,m,followup1,12/3/18 11:57,73.64318191,1.79,kenya
366,m,baseline,12/7/18 10:34,172.8987634,8.43,kenya
367,m,followup2,12/5/18 09:41,21.79066511,0.88,kenya
368,m,baseline,12/10/18 12:16,161.1950236,5.68,kenya
369,m,baseline,12/6/18 11:47,82.93367156,7.67,kenya
370,m,baseline,12/6/18 09:05,23.4799841,0.96,kenya
371,m,followup2,12/5/18 09:35,67.40875702,5.53,kenya
372,m,baseline,12/5/18 09:31,104.5481412,4.26,kenya
373,m,baseline,12/5/18 11:06,49.05935501,3.21,kenya
374,m,baseline,12/3/18 12:24,43.0021381,2.78,kenya
375,m,followup1,12/5/18 10:27,19.85735798,0.63,kenya
376,m,followup1,12/3/18 09:50,40.18751019,2.83,kenya
377,m,followup2,12/3/18 13:02,9.297759589,0.95,kenya
378,m,followup1,12/3/18 09:00,41.98032056,2.47,kenya
379,m,baseline,12/4/18 13:18,13.73985231,0.62,kenya
380,m,followup2,12/10/18 11:50,40.84128237,3.28,kenya
381,o,followup1,12/5/18 10:42,173.4608406,6.9,kenya
382,m,baseline,12/4/18 10:27,152.6472444,6.59,kenya
383,m,followup1,12/7/18 11:09,22.08217902,1.23,kenya
384,m,followup1,12/12/18 11:29,88.34841473,4.22,kenya
385,m,followup2,12/12/18 12:42,25.18877588,0.77,kenya
386,m,baseline,12/12/18 12:46,48.01038853,2.18,kenya
387,m,baseline,12/10/18 10:32,177.5227913,8.83,kenya
388,o,baseline,12/10/18 10:32,162.8370782,5.17,kenya
389,m,baseline,12/14/18 11:38,75.26308269,6.18,kenya
390,m,followup2,12/14/18 08:33,15.00846824,0.65,kenya
391,m,followup1,12/12/18 12:45,129.2225054,6.14,kenya
392,m,followup2,12/12/18 13:23,17.94339576,0.78,kenya
393,m,baseline,12/12/18 11:39,243.2526352,5.28,kenya
394,m,followup2,12/12/18 11:32,82.59851791,4.14,kenya
395,m,followup2,12/13/18 12:39,42.69670828,1.41,kenya
396,m,followup1,12/11/18 12:27,58.39437231,7.88,kenya
397,m,baseline,12/10/18 11:34,288.2305472,4.14,kenya
398,m,baseline,12/10/18 10:41,120.6690869,11.54,kenya
399,m,followup2,12/14/18 12:50,315.0852465,5.89,kenya
400,m,followup2,12/12/18 10:53,24.48852033,1.42,kenya
401,m,baseline,12/12/18 12:33,93.44639049,4.24,kenya
402,m,baseline,12/14/18 09:55,241.8438362,5.04,kenya
403,m,followup1,12/11/18 09:54,99.62565266,4.13,kenya
404,m,followup2,12/10/18 09:25,107.5337382,6.7,kenya
405,m,baseline,12/12/18 11:34,588.8906078,1.17,kenya
406,m,followup1,12/10/18 13:24,49.9834182,2.66,kenya
407,m,baseline,12/12/18 11:06,96.06759363,14.16,kenya
408,m,followup2,12/10/18 10:26,72.79947933,4.56,kenya
409,m,followup2,12/10/18 09:50,52.91935502,2.77,kenya
410,m,followup1,12/10/18 11:49,121.1265237,3.28,kenya
411,m,baseline,12/12/18 12:07,144.2468457,10.75,kenya
412,o,followup1,12/10/18 11:32,318.054293,6.08,kenya
413,m,followup1,12/14/18 08:58,156.637757,6.43,kenya
414,m,followup2,12/10/18 11:41,98.78279604,7.02,kenya
415,m,followup2,12/12/18 10:28,74.21266838,3.02,kenya
416,m,followup1,12/14/18 11:30,136.6653461,6.55,kenya
417,m,followup2,12/14/18 10:18,29.25115864,0.51,kenya
418,m,baseline,12/13/18 11:56,21.16774201,1.65,kenya
419,m,baseline,12/13/18 11:06,41.28757599,3.35,kenya
420,m,followup1,12/13/18 10:24,21.27574069,1.06,kenya
421,m,followup2,12/18/18 13:20,30.37289149,1.19,kenya
422,m,followup2,12/17/18 11:37,14.90269556,0.3,kenya
423,m,baseline,12/19/18 09:01,27.84671236,1.79,kenya
424,m,followup1,12/17/18 09:28,47.77465831,5.62,kenya
425,m,baseline,12/18/18 10:41,204.4139792,9.28,kenya
426,m,baseline,12/19/18 10:08,105.3759286,6.09,kenya
427,m,baseline,12/17/18 10:27,99.45393937,5.51,kenya
428,m,baseline,12/17/18 10:02,286.5890813,8.51,kenya
429,m,baseline,12/17/18 09:24,31.7977301,2.07,kenya
430,m,baseline,12/18/18 11:30,84.70041675,3.95,kenya
431,m,baseline,12/17/18 11:14,121.2764816,7.86,kenya
432,m,followup1,12/18/18 12:10,25.31484378,1.45,kenya
433,m,followup1,12/18/18 11:21,27.16641808,1.61,kenya
434,m,followup2,12/19/18 12:20,107.0127487,10.32,kenya
435,m,followup2,12/17/18 10:13,50.56738368,2.31,kenya
